
clinicName,year,month,weekNumber,weekLabel,blogsPublished,avgRanking,totalTraffic,callsRequested,websiteVisits,directionClicks,metaImpressions,metaClicks,metaCTR,metaCPC,metaConversions,metaCostPerConversion,metaAdSpend,googleImpressions,googleClicks,googleCTR,googleCPC,googleConversions,googleCVR,googleCostPerConversion,googleTotalCost,socialPosts,socialViews,patientCount,digitalConversion,conversionRate,dailyPatientAvg
ER OF WHITE ROCK,2025,11,44,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,11,45,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,11,46,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,11,47,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,12,48,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,12,49,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,12,50,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,12,51,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,12,52,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,1,1,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,1,2,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,1,3,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,1,4,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,2,5,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,2,6,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,2,7,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,2,8,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,3,9,,0,0.0,0,0,0,0,32675,34,,,7,,70.08,5088,219,,,12,,,647.05,1,22400,36,4,,
ER of Irving,2025,11,44,,0,8.0,624,35,32,47,1853,8,,,5,,42.39,3176,113,,,21,,,875.79,2,9600,63,0,,
ER of Irving,2025,11,45,,0,7.0,629,16,24,79,9854,85,,,6,,196.79,5469,173,,,19,,,898.57,5,16400,50,0,,
ER of Irving,2025,11,46,,0,7.0,644,32,33,100,33186,222,,,7,,277.21,8731,299,,,46,,,646.25,4,38100,51,0,,
ER of Irving,2025,11,47,,0,7.0,502,26,24,89,42124,251,,,11,,278.89,8523,324,,,41,,,625.81,2,46700,42,0,,
ER of Irving,2025,12,48,,0,7.0,223,14,16,46,42699,250,,,6,,278.09,9487,291,,,47,,,709.07,5,41900,45,0,,
ER of Irving,2025,12,49,,0,7.0,188,16,22,38,45569,274,,,10,,277.09,9101,311,,,51,,,719.36,5,47900,71,0,,
ER of Irving,2025,12,50,,0,7.0,285,19,18,42,41924,349,,,7,,327.98,8610,330,,,51,,,682.85,4,54400,56,0,,
ER of Irving,2025,12,51,,0,7.0,221,13,21,25,45237,308,,,7,,278.42,9652,354,,,47,,,677.59,4,51800,63,0,,
ER of Irving,2025,12,52,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
