
clinicName,year,month,weekNumber,weekLabel,blogsPublished,avgRanking,totalTraffic,callsRequested,websiteVisits,directionClicks,metaImpressions,metaClicks,metaCTR,metaCPC,metaConversions,metaCostPerConversion,metaAdSpend,googleImpressions,googleClicks,googleCTR,googleCPC,googleConversions,googleCVR,googleCostPerConversion,googleTotalCost,socialPosts,socialViews,patientCount,digitalConversion,conversionRate,dailyPatientAvg
ER OF WHITE ROCK,2025,11,44,2025 Week 44 (Nov 3–Nov 9),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,11,45,2025 Week 45 (Nov 10–Nov 16),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,11,46,2025 Week 46 (Nov 17–Nov 23),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,11,47,2025 Week 47 (Nov 24–Nov 30),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,12,48,2025 Week 48 (Dec 1–Dec 7),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,12,49,2025 Week 49 (Dec 8–Dec 14),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,12,50,2025 Week 50 (Dec 15–Dec 21),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,12,51,2025 Week 51 (Dec 22–Dec 28),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2025,12,52,2025 Week 52 (Dec 29–Jan 4),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,1,1,2026 Week 1 (Jan 5–Jan 11),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,1,2,2026 Week 2 (Jan 12–Jan 18),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,1,3,2026 Week 3 (Jan 19–Jan 25),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,1,4,2026 Week 4 (Jan 26–Feb 1),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,2,5,2026 Week 5 (Feb 2–Feb 8),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,2,6,2026 Week 6 (Feb 9–Feb 15),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,2,7,2026 Week 7 (Feb 16–Feb 22),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,2,8,2026 Week 8 (Feb 23–Mar 1),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER OF WHITE ROCK,2026,3,9,2026 Week 9 (Mar 2–Mar 8),0,0.0,0,0,0,0,32675,34,,,7,,70.08,5088,219,,,12,,,647.05,1,22400,36,4,,
ER of Irving,2025,11,44,2025 Week 44 (Nov 3–Nov 9),2,8.0,624,35,32,47,1853,8,,,5,,42.39,3176,113,,,21,,,875.79,2,9600,63,0,,
ER of Irving,2025,11,45,2025 Week 45 (Nov 10–Nov 16),3,7.0,629,16,24,79,9854,85,,,6,,196.79,5469,173,,,19,,,898.57,5,16400,50,0,,
ER of Irving,2025,11,46,2025 Week 46 (Nov 17–Nov 23),2,7.0,644,32,33,100,33186,222,,,7,,277.21,8731,299,,,46,,,646.25,4,38100,51,0,,
ER of Irving,2025,11,47,2025 Week 47 (Nov 24–Nov 30),3,7.0,502,26,24,89,42124,251,,,11,,278.89,8523,324,,,41,,,625.81,2,46700,42,0,,
ER of Irving,2025,12,48,2025 Week 48 (Dec 1–Dec 7),2,7.0,223,14,16,46,42699,250,,,6,,278.09,9487,291,,,47,,,709.07,5,41900,45,0,,
ER of Irving,2025,12,49,2025 Week 49 (Dec 8–Dec 14),3,7.0,188,16,22,38,45569,274,,,10,,277.09,9101,311,,,51,,,719.36,5,47900,71,0,,
ER of Irving,2025,12,50,2025 Week 50 (Dec 15–Dec 21),2,7.0,285,19,18,42,41924,349,,,7,,327.98,8610,330,,,51,,,682.85,4,54400,56,0,,
ER of Irving,2025,12,51,2025 Week 51 (Dec 22–Dec 28),3,7.0,221,13,21,25,45237,308,,,7,,278.42,9652,354,,,47,,,677.59,4,51800,63,0,,
ER of Irving,2025,12,52,2025 Week 52 (Dec 29–Jan 4),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER of Irving,2026,1,1,2026 Week 1 (Jan 5–Jan 11),3,7.0,823,58,45,173,61665,397,,,10,,272.88,8260,317,,,50,,,692.98,2,57400,57,0,,
ER of Irving,2026,1,2,2026 Week 2 (Jan 12–Jan 18),4,7.0,703,31,35,100,17260,138,,,8,,237.86,8392,318,,,48,,,812.55,3,44700,57,16,,
ER of Irving,2026,1,3,2026 Week 3 (Jan 19–Jan 25),5,6.0,1400,26,31,103,26695,234,,,8,,204.29,9390,324,,,57,,,853.04,3,4500,50,12,,
ER of Irving,2026,1,4,2026 Week 4 (Jan 26–Feb 1),4,7.0,2200,32,32,100,28946,217,,,3,,208.12,8262,300,,,50,,,872.25,2,1200,56,12,,
ER of Irving,2026,2,5,2026 Week 5 (Feb 2–Feb 8),5,6.0,2500,26,29,61,25561,163,,,1,,180.85,8444,321,,,45,,,833.81,3,474,48,17,,
ER of Irving,2026,2,6,2026 Week 6 (Feb 9–Feb 15),5,6.0,3000,23,27,95,8354,64,,,1,,71.54,7190,347,,,56,,,914.12,5,359,45,11,,
ER of Irving,2026,2,7,2026 Week 7 (Feb 16–Feb 22),5,6.0,3300,36,25,113,8921,63,,,1,,69.57,9221,373,,,59,,,947.47,3,328,46,13,,
ER of Irving,2026,2,8,2026 Week 8 (Feb 23–Mar 1),4,7.0,3100,24,21,97,9431,74,,,2,,70.0,8604,345,,,57,,,915.05,6,786,56,21,,
ER of Irving,2026,3,9,2026 Week 9 (Mar 2–Mar 8),0,0.0,0,0,0,0,8634,94,,,1,,70.48,8501,374,,,60,,,825.84,5,777,68,29,,
ER of Lufkin,2025,11,44,2025 Week 44 (Nov 3–Nov 9),6,5.0,15,16,16,26,62029,19,,,83,,231.66,3147,163,,,14,,,746.59,3,62100,53,0,,
ER of Lufkin,2025,11,45,2025 Week 45 (Nov 10–Nov 16),5,5.0,34,13,17,28,64517,31,,,234,,279.03,2810,192,,,18,,,757.08,3,64000,50,0,,
ER of Lufkin,2025,11,46,2025 Week 46 (Nov 17–Nov 23),8,5.0,16,18,24,25,60816,26,,,177,,279.41,2481,191,,,23,,,692.34,2,53400,53,0,,
ER of Lufkin,2025,11,47,2025 Week 47 (Nov 24–Nov 30),7,5.0,23,20,19,20,39898,34,,,105,,212.92,2381,210,,,29,,,665.11,2,32900,70,0,,
ER of Lufkin,2025,12,48,2025 Week 48 (Dec 1–Dec 7),5,5.0,21,11,27,13,56183,35,,,166,,278.68,2426,203,,,19,,,721.09,6,46100,46,0,,
